feature_id, product_id, feature, value
1, 99, application, open-source
2, 99, card, open-source
3, 99, matrix, virtual
4, 98, circuit, 1080p
5, 98, protocol, back-end
6, 98, matrix, optical
7, 97, hard drive, digital
8, 97, matrix, redundant
9, 97, card, solid state
10, 96, protocol, neural
11, 96, hard drive, back-end
12, 96, panel, online
13, 95, matrix, solid state
14, 95, program, back-end
15, 95, hard drive, open-source
16, 94, firewall, digital
17, 94, panel, mobile
18, 94, panel, cross-platform
19, 93, microchip, haptic
20, 93, hard drive, auxiliary
21, 93, system, redundant
22, 92, card, online
23, 92, transmitter, back-end
24, 92, firewall, mobile
25, 91, bandwidth, primary
26, 91, interface, mobile
27, 91, array, virtual
28, 90, transmitter, 1080p
29, 90, hard drive, haptic
30, 90, panel, open-source
31, 89, sensor, mobile
32, 89, feed, mobile
33, 89, alarm, auxiliary
34, 88, pixel, multi-byte
35, 88, pixel, neural
36, 88, hard drive, neural
37, 87, array, redundant
38, 87, system, optical
39, 87, panel, bluetooth
40, 86, feed, solid state
41, 86, interface, online
42, 86, card, mobile
43, 85, program, back-end
44, 85, bus, optical
45, 85, matrix, 1080p
46, 84, transmitter, online
47, 84, array, digital
48, 84, port, primary
49, 83, program, digital
50, 83, circuit, open-source
51, 83, feed, cross-platform
52, 82, microchip, cross-platform
53, 82, system, solid state
54, 82, monitor, wireless
55, 81, microchip, auxiliary
56, 81, capacitor, auxiliary
57, 81, interface, mobile
58, 80, panel, virtual
59, 80, program, multi-byte
60, 80, sensor, back-end
61, 79, driver, redundant
62, 79, port, optical
63, 79, monitor, back-end
64, 78, alarm, back-end
65, 78, feed, solid state
66, 78, program, primary
67, 77, driver, online
68, 77, interface, solid state
69, 77, program, solid state
70, 76, bandwidth, neural
71, 76, panel, back-end
72, 76, matrix, solid state
73, 75, feed, optical
74, 75, driver, mobile
75, 75, circuit, mobile
76, 74, system, mobile
77, 74, transmitter, solid state
78, 74, card, multi-byte
79, 73, microchip, bluetooth
80, 73, protocol, digital
81, 73, driver, online
82, 72, pixel, open-source
83, 72, alarm, cross-platform
84, 72, transmitter, neural
85, 71, application, 1080p
86, 71, transmitter, online
87, 71, firewall, redundant
88, 70, bus, neural
89, 70, circuit, cross-platform
90, 70, interface, digital
91, 69, hard drive, 1080p
92, 69, port, redundant
93, 69, monitor, 1080p
94, 68, matrix, auxiliary
95, 68, bus, virtual
96, 68, monitor, open-source
97, 67, application, wireless
98, 67, system, neural
99, 67, monitor, optical
100, 66, interface, 1080p
101, 66, port, online
102, 66, circuit, digital
103, 65, capacitor, cross-platform
104, 65, feed, auxiliary
105, 65, monitor, virtual
106, 64, card, multi-byte
107, 64, firewall, multi-byte
108, 64, transmitter, back-end
109, 63, firewall, virtual
110, 63, port, bluetooth
111, 63, circuit, virtual
112, 62, panel, redundant
113, 62, circuit, digital
114, 62, bus, open-source
115, 61, pixel, auxiliary
116, 61, driver, digital
117, 61, matrix, redundant
118, 60, microchip, multi-byte
119, 60, microchip, back-end
120, 60, alarm, primary
121, 59, system, 1080p
122, 59, protocol, open-source
123, 59, program, wireless
124, 58, bandwidth, haptic
125, 58, circuit, auxiliary
126, 58, alarm, haptic
127, 57, array, online
128, 57, feed, multi-byte
129, 57, application, digital
130, 56, pixel, online
131, 56, capacitor, virtual
132, 56, circuit, wireless
133, 55, application, wireless
134, 55, protocol, bluetooth
135, 55, matrix, open-source
136, 54, bandwidth, multi-byte
137, 54, capacitor, back-end
138, 54, microchip, 1080p
139, 53, feed, bluetooth
140, 53, system, primary
141, 53, capacitor, solid state
142, 52, driver, redundant
143, 52, port, wireless
144, 52, sensor, wireless
145, 51, hard drive, solid state
146, 51, application, 1080p
147, 51, alarm, primary
148, 50, array, open-source
149, 50, program, auxiliary
150, 50, bus, primary
151, 49, transmitter, back-end
152, 49, panel, back-end
153, 49, firewall, bluetooth
154, 48, system, virtual
155, 48, transmitter, wireless
156, 48, microchip, redundant
157, 47, matrix, optical
158, 47, protocol, solid state
159, 47, program, digital
160, 46, driver, online
161, 46, firewall, redundant
162, 46, transmitter, mobile
163, 45, panel, open-source
164, 45, application, open-source
165, 45, array, neural
166, 44, matrix, online
167, 44, circuit, digital
168, 44, system, virtual
169, 43, pixel, solid state
170, 43, bandwidth, neural
171, 43, program, optical
172, 42, panel, mobile
173, 42, panel, digital
174, 42, microchip, optical
175, 41, circuit, bluetooth
176, 41, monitor, auxiliary
177, 41, protocol, auxiliary
178, 40, application, bluetooth
179, 40, matrix, virtual
180, 40, system, wireless
181, 39, application, multi-byte
182, 39, monitor, online
183, 39, microchip, neural
184, 38, bus, haptic
185, 38, port, back-end
186, 38, transmitter, haptic
187, 37, alarm, digital
188, 37, port, mobile
189, 37, system, solid state
190, 36, sensor, neural
191, 36, sensor, mobile
192, 36, card, 1080p
193, 35, matrix, back-end
194, 35, program, primary
195, 35, firewall, bluetooth
196, 34, card, cross-platform
197, 34, application, virtual
198, 34, bandwidth, multi-byte
199, 33, system, back-end
200, 33, monitor, cross-platform
201, 33, hard drive, mobile
202, 32, bus, digital
203, 32, port, 1080p
204, 32, array, bluetooth
205, 31, transmitter, mobile
206, 31, circuit, bluetooth
207, 31, hard drive, back-end
208, 30, protocol, virtual
209, 30, system, redundant
210, 30, application, virtual
211, 29, program, primary
212, 29, circuit, optical
213, 29, alarm, open-source
214, 28, monitor, open-source
215, 28, pixel, bluetooth
216, 28, alarm, wireless
217, 27, port, optical
218, 27, protocol, haptic
219, 27, application, open-source
220, 26, protocol, neural
221, 26, driver, online
222, 26, alarm, neural
223, 25, monitor, haptic
224, 25, protocol, auxiliary
225, 25, capacitor, mobile
226, 24, system, 1080p
227, 24, firewall, neural
228, 24, firewall, multi-byte
229, 23, interface, online
230, 23, bus, redundant
231, 23, array, haptic
232, 22, protocol, optical
233, 22, program, wireless
234, 22, alarm, online
235, 21, application, mobile
236, 21, protocol, multi-byte
237, 21, system, mobile
238, 20, card, wireless
239, 20, microchip, primary
240, 20, program, digital
241, 19, system, primary
242, 19, panel, solid state
243, 19, circuit, digital
244, 18, protocol, multi-byte
245, 18, feed, wireless
246, 18, matrix, back-end
247, 17, array, cross-platform
248, 17, port, bluetooth
249, 17, monitor, 1080p
250, 16, array, neural
251, 16, transmitter, haptic
252, 16, alarm, primary
253, 15, driver, digital
254, 15, capacitor, wireless
255, 15, driver, optical
256, 14, card, redundant
257, 14, firewall, haptic
258, 14, driver, auxiliary
259, 13, driver, digital
260, 13, monitor, online
261, 13, array, digital
262, 12, sensor, wireless
263, 12, matrix, cross-platform
264, 12, bandwidth, open-source
265, 11, port, primary
266, 11, alarm, back-end
267, 11, application, optical
268, 10, sensor, haptic
269, 10, bandwidth, redundant
270, 10, circuit, mobile
271, 9, hard drive, online
272, 9, firewall, optical
273, 9, port, 1080p
274, 8, capacitor, auxiliary
275, 8, protocol, cross-platform
276, 8, interface, solid state
277, 7, hard drive, 1080p
278, 7, transmitter, bluetooth
279, 7, card, virtual
280, 6, alarm, bluetooth
281, 6, card, optical
282, 6, firewall, optical
283, 5, sensor, haptic
284, 5, card, mobile
285, 5, monitor, neural
286, 4, interface, mobile
287, 4, port, mobile
288, 4, firewall, 1080p
289, 3, panel, back-end
290, 3, hard drive, digital
291, 3, matrix, multi-byte
292, 2, feed, primary
293, 2, matrix, optical
294, 2, card, digital
295, 1, card, 1080p
296, 1, protocol, mobile
297, 1, application, digital
298, 0, bandwidth, haptic
299, 0, microchip, back-end
300, 0, circuit, multi-byte
